Gene,Th_1,Th_2,Th_3,Th_4,Th_5,Am_1,Am_2,Am_3,Am_4,Am_5
Itfg1,6,14,9,6,1,18,37,18,33,28
Itfg2,2,2,1,2,0,9,8,7,7,6
Itga1,2,0,1,0,0,1,0,3,2,4
Itga11,0,0,0,0,0,0,2,0,0,0
Itga2,0,2,0,1,0,0,2,2,2,0
Itga2b,0,0,0,0,0,0,1,0,1,0
Itga3,3,8,2,0,0,7,9,8,5,10
Itga4,2,3,0,2,1,6,10,3,8,6
Itga5,0,1,0,0,0,3,1,0,0,0
Itga6,0,1,0,0,0,0,1,0,0,2
Itga7,1,0,0,0,0,2,1,1,4,3
Itga8,0,0,1,0,0,0,0,1,0,1
Itga9,0,3,0,2,0,7,7,4,6,4
Itgal,0,0,0,0,0,2,1,0,0,0
Itgav,4,3,6,5,1,14,17,15,30,23
Itgb1,5,4,0,1,2,8,11,8,9,4
Itgb1bp1,0,1,1,0,0,0,3,1,4,2
Itgb1bp2,0,0,0,0,0,0,1,0,0,0
Itgb2,0,1,0,0,0,0,0,0,0,0
Itgb3bp,0,1,0,2,0,3,2,1,1,0
Itgb4,2,0,0,0,0,0,0,0,0,0
Itgb5,2,1,1,2,0,7,6,5,8,1
Itgb7,0,0,0,1,0,0,0,0,0,0
Itgb8,2,2,3,1,1,10,9,4,10,9
Itgbl1,1,2,1,0,1,4,7,4,5,8
Itih2,0,0,0,0,0,0,0,1,0,0
Itih5,0,2,1,2,0,2,1,1,1,2
Itk,0,0,0,0,0,0,1,0,0,0
Itm2a,1,0,0,0,0,0,0,2,1,0
Itm2b,13,20,6,12,7,27,49,41,50,44
Itm2c,7,25,11,10,10,44,39,32,67,46
Itpa,0,0,0,0,0,1,0,1,2,2
Itpk1,7,11,9,4,2,16,11,13,13,9
Itpkb,1,1,2,1,1,3,0,2,2,3
Itpkc,1,0,0,1,0,2,0,2,2,0
Itpr1,3,12,4,2,3,31,20,17,24,18
Itpr2,1,1,0,0,0,2,3,2,3,1
Itpr3,0,0,0,0,0,1,0,1,0,0
Itprid2,1,1,2,0,1,5,6,4,8,7
Itprip,0,0,0,0,0,0,0,0,1,0
Itpripl2,0,0,0,0,0,0,0,1,0,0
Itsn1,17,42,20,17,4,86,100,60,92,108
Itsn2,2,7,3,2,4,10,5,7,16,4
Ivd,2,5,1,2,0,5,8,10,9,8
Ivns1abp,2,14,4,6,3,16,14,14,16,10
Iws1,2,5,1,2,1,8,23,3,10,10
Iyd,0,0,0,0,0,0,0,0,0,1
Izumo4,0,0,0,0,0,0,1,1,0,0
Jade1,3,5,0,3,2,4,4,11,5,7
Jade2,3,4,1,1,2,5,8,6,8,4
Jade3,0,0,0,0,0,1,1,1,0,0
Jag1,2,5,3,2,1,7,2,2,4,4
Jag2,2,2,0,3,2,3,5,4,2,4
Jagn1,0,0,0,0,1,3,2,2,4,0
Jak1,11,14,11,14,8,38,40,27,38,38
Jak2,1,2,4,2,1,2,4,2,7,6
Jak3,0,0,0,0,0,1,0,0,0,1
Jakmip1,0,1,0,0,0,0,1,1,0,2
Jakmip2,1,3,1,0,1,4,3,4,5,6
Jakmip3,1,3,0,3,0,4,4,1,6,1
Jam2,6,6,4,2,6,8,22,13,12,5
Jam3,2,0,1,0,0,0,4,0,1,0
Jaml,0,1,0,0,0,0,0,0,0,0
Jarid2,3,11,5,3,4,17,34,12,23,21
Jazf1,0,2,1,0,0,4,3,2,2,2
