Gene,RGC_1,RGC_2,RGC_3,RGC_4,BP_1,BP_2,BP_3,BP_4,ONL_1,ONL_2,ONL_3,ONL_4
3000002C10Rik,3,4,1,6,2,0,1,2,5,2,2,1
3010001F23Rik,0,0,1,1,0,0,0,0,0,1,0,0
3010003L21Rik,0,0,0,0,0,0,0,1,0,1,0,0
3100003L05Rik,0,0,1,0,0,0,0,0,0,0,0,0
3110001I22Rik,2,0,0,0,1,0,1,0,2,1,1,0
3110009E18Rik,0,1,0,1,0,0,0,0,1,0,3,0
3110021N24Rik,0,1,0,2,0,0,0,0,2,1,1,0
3110040N11Rik,2,0,1,0,0,0,0,0,0,1,0,0
3110053B16Rik,0,0,0,0,0,0,0,0,0,0,0,0
3110056K07Rik,5,2,2,3,2,4,1,1,4,4,3,3
3110062G12Rik,1,0,0,0,0,0,0,1,0,0,0,0
3110067C02Rik,0,0,0,0,0,0,0,0,0,0,0,1
