,Gene,Bipolar1/Rods,Bipolar2/Rods,Bipolar3/Rods,Bipolar4/Rods,Bipolar5/Rods,Bipolar6/Rods,Bipolar1/Cones,Bipolar2/Cones,Bipolar3/Cones,Bipolar4/Cones,Bipolar5/Cones,Bipolar6/Cones,Bipolar1/MG,Bipolar2/MG,Bipolar3/MG,Bipolar4/MG,Bipolar5/MG,Bipolar6/MG,Bipolar1/BCs,Bipolar2/BCs,Bipolar3/BCs,Bipolar4/BCs,Bipolar5/BCs,Bipolar6/BCs
1700011E24Rik,1700011E24Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0
1700011I03Rik,1700011I03Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1700011L22Rik,1700011L22Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1700012A03Rik,1700012A03Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700012B09Rik,1700012B09Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1700012C14Rik,1700012C14Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,1
1700013D24Rik,1700013D24Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1700013F07Rik,1700013F07Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,3,1
1700014D04Rik,1700014D04Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
1700015E13Rik,1700015E13Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1
1700015F17Rik,1700015F17Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,4,2,2,3,3,7
1700015G11Rik,1700015G11Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
