Gene,ONL_1,ONL_2,ONL_3,ONL_4,ONL_5,ONL_6,BP_1,BP_2,BP_3,BP_4,BP_5,BP_6
Tmem114,0,0,0,0,0,0,0,0,0,0,0,0
Tmem115,2,0,0,1,1,1,31,45,50,72,139,112
Tmem116,0,0,0,0,0,0,5,17,9,10,22,24
Tmem117,0,0,0,1,0,0,7,7,15,14,22,24
Tmem119,0,0,0,0,0,0,0,0,0,0,0,0
Tmem120a,0,0,0,0,0,0,26,31,18,31,67,54
Tmem120b,0,0,0,2,0,1,5,17,19,20,49,40
Tmem121,0,0,0,1,1,2,33,30,21,40,68,53
Tmem123,1,1,0,0,3,0,23,39,31,31,58,44
Tmem126a,2,3,0,3,4,7,205,246,239,290,526,466
Tmem126b,2,1,2,2,3,5,130,150,161,184,317,288
Tmem127,1,1,4,9,9,8,197,232,229,265,555,501
Tmem128,2,0,2,4,1,3,139,135,142,143,231,214
Tmem129,0,1,2,1,1,1,73,82,84,71,137,138
Tmem130,2,3,1,5,4,6,222,298,219,279,530,455
Tmem131,1,0,0,1,0,3,41,74,71,81,129,112
Tmem132a,0,0,2,6,7,5,136,199,147,190,472,452
Tmem132b,0,0,0,0,0,0,5,8,6,9,27,23
Tmem132c,0,0,0,0,0,0,9,8,4,9,28,19
Tmem132cos,0,0,0,0,0,0,1,0,1,0,4,3
Tmem132d,1,2,1,7,3,8,116,158,152,210,616,521
Tmem132e,0,0,0,0,0,0,17,32,21,28,57,38
Tmem134,1,1,1,1,4,4,109,130,106,139,334,281
Tmem135,1,1,1,5,3,3,102,125,109,126,247,222
Tmem136,3,9,2,8,10,8,115,125,125,171,204,167
Tmem138,2,1,1,1,8,2,39,36,42,56,101,74
Tmem140,0,0,0,0,0,0,0,3,4,3,7,5
Tmem141,1,1,1,2,2,2,141,128,117,147,251,232
Tmem143,0,2,0,0,0,2,26,46,44,35,91,79
Tmem144,0,0,0,0,0,0,1,4,4,2,7,5
Tmem145,2,2,5,7,5,8,345,400,424,468,684,646
Tmem147,0,4,4,4,8,11,301,336,322,323,872,718
Tmem147os,0,0,0,0,0,0,4,11,9,9,15,10
Tmem14a,0,0,0,0,0,1,21,16,22,27,69,61
Tmem14c,0,1,1,3,3,2,157,191,151,197,305,274
Tmem150a,2,1,3,8,3,1,150,215,204,235,476,381
Tmem150b,0,0,0,0,0,0,1,4,4,4,6,7
Tmem150c,3,2,3,7,8,13,203,248,243,288,608,554
Tmem150cos,0,0,0,0,0,0,1,1,0,1,3,1
Tmem151a,0,0,0,1,0,1,10,12,6,13,34,27
Tmem151b,0,0,0,0,0,0,2,0,2,2,14,12
Tmem154,0,0,0,0,0,0,6,7,7,4,3,6
Tmem156,0,0,0,0,0,0,0,1,1,0,0,0
Tmem158,0,0,0,0,0,1,18,15,12,9,56,55
Tmem159,0,1,2,0,0,4,50,73,58,67,125,110
Tmem160,4,1,0,4,5,9,177,223,165,230,513,433
Tmem161a,1,0,0,2,2,4,66,80,77,91,206,181
Tmem161b,2,1,3,4,6,4,111,140,143,186,314,235
Tmem163,0,0,0,0,0,0,0,0,0,0,1,1
Tmem164,0,0,0,0,0,0,2,12,11,11,35,25
Tmem165,1,0,0,6,6,3,130,147,157,166,338,271
Tmem167,1,3,1,11,15,12,409,507,550,593,1009,933
Tmem167b,2,2,2,2,7,3,129,131,129,156,285,230
Tmem168,2,0,0,2,1,0,42,50,51,46,93,75
Tmem169,1,1,5,8,2,1,210,273,247,303,570,480
Tmem17,0,1,0,1,1,0,12,15,23,13,44,36
Tmem170,0,0,1,0,0,1,5,8,8,6,10,10
Tmem170b,0,1,1,2,3,0,26,52,47,52,98,76
Tmem173,0,0,0,0,0,0,6,6,5,1,13,4
Tmem175,0,0,0,3,1,1,41,47,43,53,122,115
Tmem176a,0,0,2,0,0,0,6,18,12,17,50,47
Tmem176b,0,1,0,0,0,1,30,44,50,56,234,192
Tmem177,0,0,0,0,4,1,11,16,16,23,34,31
Tmem178,0,1,0,0,0,0,0,0,0,0,1,1
Tmem178b,1,0,0,2,2,0,59,99,80,132,195,167
Tmem179,0,0,0,0,0,0,8,12,7,9,79,56
Tmem18,2,0,0,1,3,1,54,71,84,89,154,135
Tmem180,0,0,0,0,0,0,6,10,7,8,9,21
Tmem181a,1,3,2,1,2,6,118,224,156,175,142,164
Tmem183a,1,1,3,6,6,6,186,206,197,236,448,403
Tmem184a,0,0,0,0,0,0,1,1,1,2,0,1
Tmem184b,1,0,0,1,0,1,44,65,49,64,112,96
Tmem184c,3,1,1,5,6,9,174,194,214,220,511,438
Tmem185b,1,1,0,0,1,1,30,43,38,38,103,75
Tmem186,1,1,1,4,0,2,87,93,93,120,182,146
Tmem189,0,0,0,1,1,0,29,29,25,31,111,86
Tmem19,1,0,0,0,1,4,48,68,70,89,171,152
Tmem190,0,0,0,0,0,0,0,0,0,0,1,0
Tmem191c,1,3,1,1,2,4,126,146,157,160,293,267
Tmem192,0,1,4,2,1,3,69,66,56,67,146,140
Tmem194,0,1,1,0,0,0,5,7,5,3,15,16
Tmem194b,0,0,0,0,0,0,5,9,15,14,36,28
Tmem196,0,0,0,2,1,1,106,155,154,183,200,175
Tmem198,0,1,0,2,0,2,48,66,40,86,124,94
Tmem198b,0,0,0,0,2,1,16,18,19,33,73,55
Tmem199,2,1,4,6,1,1,135,135,127,164,273,302
Tmem2,0,0,1,1,2,0,32,56,45,42,96,81
Tmem200a,1,0,2,0,0,3,82,81,75,111,303,295
Tmem200b,0,0,0,0,0,0,1,0,0,1,6,1
Tmem200c,0,1,0,4,5,0,93,98,101,110,233,191
Tmem201,1,1,1,3,6,6,88,139,126,135,242,209
Tmem202,0,0,0,0,0,0,6,2,4,2,8,1
Tmem203,0,0,0,0,4,5,33,45,41,56,108,108
Tmem204,0,0,0,0,0,0,4,2,3,6,9,7
Tmem205,0,1,0,0,4,1,58,64,64,74,173,153
Tmem206,1,0,0,0,2,0,13,16,13,15,35,39
Tmem207,0,0,0,0,0,0,0,4,4,4,3,9
Tmem208,2,4,2,8,7,6,205,249,232,270,508,440
Tmem209,0,2,1,3,1,5,39,48,49,55,131,128
Tmem210,0,0,0,0,0,0,0,0,0,0,0,0
Tmem211,0,0,0,0,0,0,0,0,0,0,0,0
Tmem214,0,0,1,0,7,1,67,88,82,102,260,232
Tmem215,20,6,17,22,17,27,1087,1315,1286,1559,2719,2386
Tmem216,2,0,1,2,2,2,40,59,34,44,98,104
