Gene,ONL_1,ONL_2,ONL_3,ONL_4,ONL_5,ONL_6,BP_1,BP_2,BP_3,BP_4,BP_5,BP_6
F9,0,0,0,0,0,0,0,0,0,1,0,0
F930015N05Rik,0,0,0,0,0,0,0,1,0,0,0,0
Fa2h,0,0,0,0,0,0,1,0,0,1,0,1
Faah,1,0,0,2,1,4,26,19,12,28,99,73
Fabp1,0,0,0,0,0,0,0,0,0,1,0,1
Fabp12,4,9,2,8,21,8,6,9,5,4,15,23
Fabp2,0,0,0,0,0,0,0,0,0,0,0,1
Fabp3,0,0,1,1,0,0,43,64,45,68,79,76
Fabp3-ps1,0,0,0,0,0,0,5,13,6,3,12,11
Fabp4,0,0,2,0,0,0,1,2,0,1,0,1
Fabp5,0,3,1,0,1,4,36,45,37,44,126,85
Fabp6,0,0,0,0,0,0,1,0,0,0,1,0
Fabp7,0,1,1,1,8,3,11,17,14,13,49,52
Fabp9,0,0,0,0,0,0,0,0,0,0,0,0
Fadd,0,0,0,0,0,0,5,6,4,3,12,9
Faddos,0,0,0,0,0,0,0,0,1,0,0,0
Fads1,0,0,1,0,2,0,40,43,45,50,146,132
Fads2,0,0,0,0,0,0,2,8,2,6,23,15
Fads3,0,1,0,0,0,0,10,6,8,11,45,33
Fads6,0,0,1,3,1,0,32,52,50,60,76,67
Faf1,1,0,0,1,3,10,94,98,108,101,237,184
Faf2,1,1,5,5,9,8,237,297,312,306,799,635
Fah,1,0,0,1,0,0,22,24,32,32,57,46
Fahd1,1,0,3,2,1,1,92,104,114,133,231,229
Fahd2a,3,0,2,3,5,3,146,176,163,172,340,346
Faim,7,5,8,9,33,23,162,234,193,233,490,422
Faim2,4,4,2,3,5,13,503,645,524,677,1306,1118
Faim3,0,0,0,0,0,0,0,0,0,1,0,0
Fam101a,0,0,0,0,0,0,16,10,17,14,44,23
Fam101b,0,0,0,0,0,0,3,6,2,3,12,7
Fam102a,0,0,0,1,0,4,29,48,46,51,84,79
Fam102b,0,0,0,0,3,0,15,25,23,26,107,91
Fam103a1,1,3,6,1,2,0,111,155,152,168,219,198
Fam104a,11,4,10,13,12,17,527,643,629,740,923,870
Fam105a,0,0,2,1,0,2,27,31,30,33,79,75
Fam107a,0,0,0,0,0,0,5,6,4,6,36,23
Fam107b,2,1,1,2,6,4,51,70,57,87,169,151
Fam109a,0,0,0,0,0,1,7,14,12,12,47,29
Fam109b,0,0,0,0,0,0,0,0,1,1,2,1
Fam110a,1,2,1,1,3,3,4,4,4,3,36,29
Fam110b,0,0,0,0,0,0,18,27,20,21,54,59
Fam110c,0,0,0,0,0,0,0,1,0,0,0,0
Fam111a,0,0,0,0,0,0,3,1,2,4,7,10
Fam114a1,0,0,0,0,0,0,5,6,5,3,11,12
Fam114a2,4,2,12,12,26,16,508,709,689,841,1637,1428
